Samples	CBSX__HNSCC__B_cells	CBSX__HNSCC__T_cells_CD8	CBSX__HNSCC__T_cells_CD4	CBSX__HNSCC__Macrophages	CBSX__HNSCC__Dendritic_cells	CBSX__HNSCC__Mast_cells	CBSX__HNSCC__Myocytes	CBSX__HNSCC__CAFs	CBSX__HNSCC__Endothelial_cells	CBSX__HNSCC__Malignant_cells
LUNG-NSCLC2-0553	0	0	0.11096045729595624	0.03964256356801937	0.05809933555560835	0	0	0.5006393313783408	0.29065831220207516	0
LUNG-NSCLC2-0560	0	0	0.05925796762963472	0.06631738959118118	0.07494177915639863	0	0	0.527538209663734	0.27194465395905143	0
LUNG-NSCLC2-0561	0	0	0	0	0.00335159789158899	0	0	0.15513990330928423	0.02467429836915041	0.8168342004299765
LUNG-NSCLC2-0563	0.00595904420911032	0	0.20322670568738943	0.04381512483582386	0.10354217917393392	0	0	0.3841909736530723	0.04873665632100053	0.21052931611966955
LUNG-NSCLC2-0565	8.295642233007e-5	0	0.33793341379124314	0.02531964283702974	0	0	0	0.48329266637816654	0.1533713205712305	0
LUNG-NSCLC2-0566	0.00354812273043302	0	0.3029086376953318	0.11683091319031268	0.2279923544444745	0	0	0.2788494982391122	0.0698704737003358	0
LUNG-NSCLC2-0567	7.8788147787108e-4	0	0.0961021682646974	0.04847715850701041	0.05358551317278424	0	0	0.5528598158251647	0.04261828606427961	0.20556917668819263
LUNG-NSCLC2-0568	0	0	0.05060077276631454	0.28196977003255763	0.05369372347614813	0	0	0.4132259954073794	0.20050973831760033	0
LUNG-NSCLC2-0569	0.00624677754712173	0	0.2593761156799777	0.2797008789569898	0.11859477533229	0	0	0.29392943469845545	0.04215201778516516	0
LUNG-NSCLC2-0571	0	0	0.12141317645101886	0.12747770236068537	0.10288211855096228	0	0	0.5109062339082729	0.13732076872906063	0
LUNG-NSCLC2-0572	0	0	0.05211624431808543	0.12330653367001372	0.03724123775839234	0.00793951758659737	0	0.3596243502701073	0.14192860413585037	0.2778435122609534
LUNG-NSCLC2-0576	0	0	0.37006584210823273	0.04704661947090127	0.1791914386897627	0	0	0.25554621469735683	0.14814988503374646	0
LUNG-NSCLC2-0580	0.00349733552881005	0	0.1475302398055337	0.0966316986487306	0.03270602996839522	0	0	0.48614524018591165	0.23348945586261863	0
LUNG-NSCLC2-0583	0.00132232075321014	0	0.11651409811559278	0.04126734618352804	0.05263639940795922	0	0	0.7030836259516612	0.02979624320497996	0.05537996638306876
LUNG-NSCLC2-0584	2.0178271221447e-4	0	0.11102345218841184	0.10070255153807302	0.06385407453768382	0	0	0.3539882323313799	0.37022990669223704	0
LUNG-NSCLC2-0585	0	0	0.11051295512335628	0.13499580846753292	0.15505462656226063	0	0	0.5247110092670771	0.07472560057977305	0
LUNG-NSCLC2-0587	0.02410951022130293	0	0.26840715205082233	0.1104043250032636	0.03450182872187167	0	0	0.2895871660340282	0.08831468108044213	0.184675336888269
LUNG-NSCLC2-0588	0	0	0.110760521464742	0.05002061505834493	0	0.00838566480554283	0	0.5562974082933598	0.27453579037801046	0
LUNG-NSCLC2-0590	0	0	0.16128973207513658	0.16421230468524978	0.1903833123169552	0	0	0.3334697240136165	0.150644926909042	0
LUNG-NSCLC2-0592	0.00297557453151375	0	0.14451753811142676	0.5639362586571511	0.06694094840163754	0	0	0.1512717943690066	0.07035788592926435	0
LUNG-NSCLC2-0593	0	0	0.19354193287258992	0.07293827142228855	0.02601533007064404	0.00235572971723006	0	0.5558027392343531	0.1493459966828942	0
LUNG-NSCLC2-0595	0.00666615779569546	0	0.20544824081742272	0.2566477452761236	0.05942982750646435	0	0	0.3717525517481622	0.10005547685613168	0
LUNG-NSCLC2-0596	0	0	0.16792951842237025	0.14303205368194863	0.06908852925219316	0	0	0.5581539368471528	0.06179596179633527	0
LUNG-NSCLC2-0599	0	0	0.10827325037504984	0.24573362057454057	0.06987061596146518	0	0	0.3839232687864217	0.1921992443025229	0
LUNG-NSCLC2-0602	0	0	0.24166903374854007	0.2432445739553107	0.02139768743333113	0.0034416658067095	0	0.4526249933510096	0.03762204570509893	0
LUNG-NSCLC2-0603	7.9810966819868e-4	0	0.11623780097087068	0.18140876534645264	0.0567407044963153	0	0	0.4918271500410616	0.15298746947710107	0
LUNG-NSCLC2-0607	0	0	0.11650555458126	0	0.2680988078673833	0	0	0.6153956375513567	0	0
LUNG-NSCLC2-0608	0	0	0.1312127088519012	0.27144116436522886	0.04418136103246372	0	0	0.4173072988773981	0.13585746687300815	0
