Mixture	T cells CD8	Monocytes	T cells CD4	NKT cells	B cells	NK cells	P-value	Correlation	RMSE
Gide_Cancer-Cell_2019-10	0.08529821976121674	0.42267254398627724	0.00000000000000000	0.00000000000000000	0.49202923625250600	0.00000000000000000	0.00000000000000000	0.12743488903136907	1.22177330451034893
Gide_Cancer-Cell_2019-11	0.00000000000000000	0.58165041603126610	0.18020692330579099	0.18417629590614115	0.05396636475680164	0.00000000000000000	0.00000000000000000	0.13530183052773784	1.31983098175615754
Gide_Cancer-Cell_2019-12	0.12307456225827415	0.10400592452654001	0.00000000000000000	0.00000000000000000	0.68864256226799125	0.08427695094719466	0.00000000000000000	0.02055851305419974	1.16113285989711623
Gide_Cancer-Cell_2019-13	0.00000000000000000	0.24769362894853442	0.00000000000000000	0.14293669726598943	0.60936967378547624	0.00000000000000000	0.00000000000000000	0.03403439154743358	1.18713547163772759
Gide_Cancer-Cell_2019-14	0.00000000000000000	0.55668164782118268	0.00000000000000000	0.19016617141445574	0.25315218076436163	0.00000000000000000	0.00000000000000000	0.08413897584498631	1.34328281810163497
Gide_Cancer-Cell_2019-15	0.00000000000000000	0.10514523000377257	0.00000000000000000	0.26461181129769051	0.63024295869853697	0.00000000000000000	0.00000000000000000	0.02432516992454995	1.15121193415171663
Gide_Cancer-Cell_2019-16	0.00000000000000000	0.06387299389753241	0.00000000000000000	0.06084938867477502	0.87527761742769261	0.00000000000000000	0.00000000000000000	0.01367699249988560	1.20518421164294787
Gide_Cancer-Cell_2019-17	0.11295543021916025	0.74824437833695223	0.00000000000000000	0.00000000000000000	0.13880019144388756	0.00000000000000000	0.00000000000000000	0.14604790177972987	1.48981799296264117
Gide_Cancer-Cell_2019-18	0.00000000000000000	0.45322275768643000	0.00000000000000000	0.13124536249765167	0.41553187981591833	0.00000000000000000	0.00000000000000000	0.10662225372226200	1.24809033155313220
Gide_Cancer-Cell_2019-19	0.04169395404751957	0.50053832641838014	0.00000000000000000	0.00000000000000000	0.40721907602920593	0.05054864350489442	0.00000000000000000	0.09298771148295684	1.29953807040684621
Gide_Cancer-Cell_2019-2	0.00000000000000000	0.67654129884430780	0.00682661575445755	0.06643945417228031	0.25019263122895424	0.00000000000000000	0.00000000000000000	0.15570497204141889	1.40577072707935780
Gide_Cancer-Cell_2019-21	0.05128076610196688	0.49018708279541628	0.00000000000000000	0.00000000000000000	0.44859254029602669	0.00993961080659015	0.00000000000000000	0.12263968524928562	1.27342899376399354
Gide_Cancer-Cell_2019-23	0.04883798372242890	0.43875148816179527	0.00000000000000000	0.00000000000000000	0.46303356802372347	0.04937696009205226	0.00000000000000000	0.17204242366766251	1.19931835760401850
Gide_Cancer-Cell_2019-25	0.22410064444565989	0.38072819493668203	0.00000000000000000	0.03144085760405371	0.36373030301360443	0.00000000000000000	0.00000000000000000	0.16845494540304534	1.15135992409276944
