Samples	CBSX__scRNA-melanoma__Malignant	CBSX__scRNA-melanoma__Endothelial_cells	CBSX__scRNA-melanoma__CAF	CBSX__scRNA-melanoma__T_cells_CD8	CBSX__scRNA-melanoma__NK_cells	CBSX__scRNA-melanoma__Macrophages	CBSX__scRNA-melanoma__T_cells_CD4	CBSX__scRNA-melanoma__B_cells
LUNG-NSCLC2-0553	0	0.00906122825286105	0.7565378743567578	0	0	0.0280060318834641	0	0.20639486550691705
LUNG-NSCLC2-0560	0	0.03787318206650313	0.7439662893221074	0	0	0.09203641781047513	0.0571227036458509	0.0690014071550634
LUNG-NSCLC2-0561	0	0	0.9398285775014662	0.00105361400746527	0	0.03136551946544943	0	0.02775228902561915
LUNG-NSCLC2-0563	0	0.00318126094454038	0.5015133166518161	0.0797281716407822	0	0.06904501986252752	0.11113752010526506	0.2353947107950685
LUNG-NSCLC2-0565	0	0.00791835930628418	0.5421656993904241	0.06763296286060355	0	0.05154117645326081	0.06033525620090217	0.27040654578852513
LUNG-NSCLC2-0566	0	0	0.2999807578288068	0.1197947613683138	0	0.1270637202761374	0.0564517077185824	0.39670905280815966
LUNG-NSCLC2-0567	0	0.01157130034564615	0.8255983514188319	0	0	0.0814090373902406	0.0442191478900729	0.03720216295520867
LUNG-NSCLC2-0568	0	0.00452184591180954	0.6590275215435525	0.01549968449951508	0	0.2899779000278041	7.0962110551579e-4	0.03026342691180307
LUNG-NSCLC2-0569	0	0	0.43377787248490735	0	0	0.2489151679983028	0.04261137165656658	0.2746955878602231
LUNG-NSCLC2-0571	0	0.00563511021203655	0.7705529851374189	0	0	0.1671252976358048	0.05668660701473981	0
LUNG-NSCLC2-0572	0	0.01296633959066547	0.6865054467873047	0	0	0.1700331913516494	0.09612273526608528	0.03437228700429502
LUNG-NSCLC2-0576	0	0	0.6577815598715535	0	0	0.15414219091298395	0.11922255244107977	0.06885369677438292
LUNG-NSCLC2-0580	0	0.00834214928900842	0.6195113659689627	0	0	0.1375765517868691	0.08574351588059476	0.14882641707456512
LUNG-NSCLC2-0583	0	0.00379437127948724	0.8274944785728395	0.02548460106436888	0	0.03373423278906752	0	0.1094923162942367
LUNG-NSCLC2-0584	0	0.00724248887316415	0.47341042099826824	0.04406981013942381	0	0.19486234424028087	0	0.2804149357488628
LUNG-NSCLC2-0585	0	0	0.7762536212980589	0.02153264411542933	0	0.1472298329843698	0	0.05498390160214207
LUNG-NSCLC2-0587	0	0.01010384083106622	0.4364419131963458	0	0	0.16177011985192694	0.23587729306579489	0.15580683305486628
LUNG-NSCLC2-0588	0	0.15147186004168675	0.5530040891909056	0	0	0.16825429836627562	0.0585459678078358	0.06872378459329617
LUNG-NSCLC2-0590	0	0	0.6042510470085486	0	0	0.26917106678362607	0	0.12657788620782537
LUNG-NSCLC2-0592	0	0	0.1264748528403098	0.0998650733653834	0	0.4966306079208535	0	0.2770294658734533
LUNG-NSCLC2-0593	0	0.01007021991169168	0.5812120630552948	0	0	0.08308375259779846	0.02535819759736839	0.3002757668378468
LUNG-NSCLC2-0595	0	0	0.6724880965475518	0.01002664924356339	0	0.2092165893527707	0	0.108268664856114
LUNG-NSCLC2-0596	0	0.00352338850020383	0.6848613037119144	0.00457709983303833	0	0.1327924483104077	0.01925710815100299	0.15498865149343283
LUNG-NSCLC2-0599	0	0.02607959140683903	0.3484997967580321	0	0	0.3486605120082246	0.09941628296181122	0.17734381686509293
LUNG-NSCLC2-0602	0	0.00607936046641786	0.5978822540082723	0	0	0.18528448508872333	0.12948350249945276	0.08127039793713371
LUNG-NSCLC2-0603	0	0.00448799546448595	0.6119838351706949	0.05949140522633382	0	0.16632649652862924	0	0.15771026760985618
LUNG-NSCLC2-0607	0	0	0.7615724683933347	0	0	0.10384537107252134	0.07202627281721509	0.06255588771692898
LUNG-NSCLC2-0608	0	0	0.5500706645538493	0	0	0.35845314935363026	0	0.09147618609252038
LUNG-NSCLC2-0610	0	0.00742721305479254	0.6611956231618852	0	0	0.16049555313136885	0.09531723705285702	0.0755643735990963
LUNG-NSCLC2-0611	0	0.00146811059951185	0.565647196836344	0	0	0.24200235250302304	0.04834102052233501	0.14254131953878613
LUNG-NSCLC2-0612	0	0	0.7457515815021194	0	0	0.10104836630750824	0.10992146647833892	0.04327858571203366
LUNG-NSCLC2-0613	0	0.01530253616403792	0.9031097558427198	0	0	0.02244637544387885	9.1768268111105e-4	0.05822364986825234
LUNG-NSCLC2-0614	0	0.00843492337612251	0.6729801159601964	0.02230362433346625	0	0.1550517284061283	0	0.14122960792408665
LUNG-NSCLC2-0617	0	0.01247738700284732	0.6969484988911226	0.03776290716263966	0	0.08848126190292437	0	0.1643299450404661
LUNG-NSCLC2-0622	0	0	0.5076853017580713	0.01534949032878898	0	0.3778948259572647	0	0.099070381955875
LUNG-NSCLC2-0623	0	0.00136552515721592	0.718444011112532	0.08661370937004732	0	0.06884888082258854	0.00351970301789958	0.1212081705197167
LUNG-NSCLC2-0630	0	0.0069604614374478	0.6685844539173108	0	0	0.14155185688960628	0.07033083626702609	0.11257239148860904
LUNG-NSCLC2-0631	0	0	0.576178150492928	0.03917389701082517	0	0.13316730012754832	0.06107443801098969	0.19040621435770885
LUNG-NSCLC2-0632	0	0	0.5805008824269162	0.11425848530068336	0	0.13528889103344163	0	0.169951741238959
LUNG-NSCLC2-0633	0	1.5298689986921e-4	0.2821051098509652	0	0	0.3936436078483685	0.12557895323251853	0.19851934216827863
LUNG-NSCLC2-0635	0	0.01004970991583786	0.8616467436312546	0	0	0.02937685785271349	0.05078850710995091	0.0481381814902432
LUNG-NSCLC2-0636	0	5.2865902555661e-4	0.6032791746561165	0	0	0.3293947766617112	0.02959039298558011	0.03720699667103568
LUNG-NSCLC2-0641	0	0.01368183080982179	0.7217504534974011	0	0	0.17020201917792405	0.06975417524842312	0.02461152126642986
LUNG-NSCLC2-0648	0	0.01301142702015763	0.5104445082654943	0	0	0.2685041430876983	0.07532016457852464	0.1327197570481251
LUNG-NSCLC2-0652	0	2.1859682774639e-4	0.5970843626292317	0.03262195622888962	0	0.18671353366719037	0	0.18336155064694185
LUNG-NSCLC2-0657	0	0.03434689699455942	0.2998776866360953	0.06438173354516549	0	0.17144664756735872	0.08144011382134492	0.3485069214354762
LUNG-NSCLC2-0660	0	2.8659557703818e-4	0.5402657516777294	0.02921636456320014	0	0.14866661274961077	0.00696767350538771	0.2745970019270338
LUNG-NSCLC2-0665	0	0	0.43966724634055265	0.10196350721204694	0	0.32656658304252045	0	0.13180266340488006
LUNG-NSCLC2-0672	0	0	0.5411669176007186	0.09454223901209348	0	0.15677774437436892	0.01077735925053117	0.19673573976228795
LUNG-NSCLC2-0677	0	0.02301771951297341	0.337926017806751	0.19154004499441749	0	0.13878274109905725	0	0.30873347658680084
LUNG-NSCLC2-0678	0	0	0.8777763367324808	0	0	0.08441399111146664	0.00515088155360776	0.03265879060244481
LUNG-NSCLC2-0679	0	0	0.42496219434097054	0	0	0.38523603340539175	0.12496522293705983	0.064836549316578
LUNG-NSCLC2-0680	0	0	0.6717121583934754	0.03916881315579564	0	0.1536996665006929	0	0.13541936195003615
LUNG-NSCLC2-0683	0	0.00572893230630748	0.5285521313850073	0	0	0.1867548029668074	0.12033509327754532	0.15862904006433243
LUNG-NSCLC2-0685	0	0.00109224971565383	0.6584207459663194	0.03807837138274871	0	0.19306073065987067	0	0.10934790227540736
LUNG-NSCLC2-0687	0	0.00334061801735887	0.5663917723156795	0	0	0.19123036047588649	0.0731119137058596	0.16592533548521543
LUNG-NSCLC2-0689	0	0	0.6739635974559451	0	0	0.25244722134797765	0	0.0735891811960772
LUNG-NSCLC2-0695	0	0.08570798735757007	0.659505588375514	0	0	0.16615245781280533	0.02863641162306709	0.05999755483104336
LUNG-NSCLC2-0696	0	0	0.5826767159916543	0.03450485383076404	0	0.2082231478629168	0	0.17459528231466506
LUNG-NSCLC2-0698	0	0.00242937554967594	0.5138924497047075	0.02619674580686277	0	0.11012660806383208	0.08681824184186593	0.26053657903305577
LUNG-NSCLC2-0702	0	0	0.6671806860017506	0	0	0.07884109642520616	0	0.2539782175730432
LUNG-NSCLC2-0704	0	0.02727961430192824	0.8544713131277704	0	0	0.11824907257030132	0	0
LUNG-NSCLC2-0705	0	0.04133906917751782	0.63161018904901	0.00427740959776119	0	0.10406368507250369	0.03214592815575903	0.18656371894744836
LUNG-NSCLC2-0707	0	0	0.47536891625657185	0	0	0.43953880494170106	0	0.08509227880172715
LUNG-NSCLC2-0709	0	0.08072096001228185	0.6965631500921965	0	0	0.06111926272271638	0.02743105698425272	0.13416557018855252
LUNG-NSCLC2-0711	0	0.00177568425834824	0.599213609188441	0.00597884777536137	0	0.06697302303096259	0.1221151866588652	0.20394364908802157
LUNG-NSCLC2-0712	0	0	0.8481817634321702	0	0	0.1383009900442926	0.00916012229474697	0.00435712422879014
LUNG-NSCLC2-0713	0	0	0.7272711759879413	0.04814938522961621	0	0.089109542855772	0	0.13546989592667064
LUNG-NSCLC2-0714	0	0.00684423312123969	0.7187219347621536	0	0	0.1677075900173432	0.03438497805654001	0.0723412640427235
LUNG-NSCLC2-0715	0	0.01050904228607049	0.6245292955119705	0.04235704163571677	0	0.2089403764149763	0	0.11366424415126604
LUNG-NSCLC2-0717	0	0.00589167489633963	0.8376942586578011	0	0	0.04450563955677401	0.04549630949309288	0.06641211739599238
LUNG-NSCLC2-0718	0	0.0110360899202781	0.6191733150456584	0.0393506624276679	0	0.19784795469519384	0	0.13259197791120172
LUNG-NSCLC2-0720	0	0.00109138215493315	0.6413028389915804	0	0	0.15413549593133502	0.100266319340736	0.10320396358141548
LUNG-NSCLC2-0727	0	0.05291274633037241	0.6309589565190851	0	0	0.21069049215895444	0.05564100226223326	0.04979680272935475
LUNG-NSCLC2-0728	0	0	0.31441360077167213	0.05258441866897619	0	0.3379675981659023	0	0.29503438239344937
LUNG-NSCLC2-0729	0	0.02514312476486031	0.6492256470994673	0	0	0.15945193767642693	0.04279862016870423	0.12338067029054128
LUNG-NSCLC2-0730	0	0.02002893479397333	0.7666938726703062	0	0	0.09502307691588596	0.0565745212723882	0.06167959434744608
LUNG-NSCLC2-0732	0	0.02010064260330462	0.6434963798834452	0	0	0.15131421094153974	0.11914124126232042	0.06594752530939005
LUNG-NSCLC2-0733	0	0	0.7243280531638199	0	0	0.08986506173693451	0.05361607712073523	0.13219080797851038
LUNG-NSCLC2-0734	0	0	0.18410218315827792	0.08990928893247979	0	0.3625027909001049	0.1010353002139718	0.26245043679516566
LUNG-NSCLC2-0736	0	0.00772804801662739	0.7010146214941989	0	0	0.1739316170521211	0.03507245621453388	0.08225325722251856
LUNG-NSCLC2-0737	0	0.05838658534382312	0.5778445821342653	0	0	0.239841807206261	0.019206265019158682	0.104720760296492
LUNG-NSCLC2-0738	0	0.01932477521229682	0.6513076103453059	0.01857047098220725	0	0.082356502443736615	0.0565706155681568	0.17187002544829652
LUNG-NSCLC2-0740	0	0.00546467709603381	0.7870144054305821	0.02975924778038604	0	0.08760315961720205	0	0.09015851007579584
LUNG-NSCLC2-0742	0	0	0.649120521786014	0	0	0.16924488055683312	0.10330548013384434	0.07832911752330864
LUNG-NSCLC2-0743	0	0.06171291477404198	0.5461051342992939	0	0	0.24023329896810927	0.08479014174975545	0.06715851020879945
