gene_name	IMMU.BC2.0118.FIXT.01.RNA.01	IMMU.BC2.0140.FIXT.01.RNA.01	IMMU.BC2.0145.FIXT.01.RNA.01	IMMU.BC2.0151.FIXT.01.RNA.01	IMMU.BC2.0159.FIXT.02.RNA.01	IMMU.BC2.0163.FIXT.01.RNA.01	IMMU.BC2.0166.FIXT.01.RNA.01
TSPAN6	2.209598	7.171501	50.050527	4.355013	18.269794	9.082574	17.227596
TNMD	0.091021	0.110791	0.225372	0	0.149793	0.14047	1.869362
DPM1	15.660008	13.451833	22.474138	10.02733	32.84144	36.129023	40.481645
SCYL3	5.525183	3.912297	9.211899	5.511897	6.549566	3.509547	9.745448
C1orf112	4.566211	16.37556	16.181117	2.394719	9.805333	13.60618	12.368218
FGR	1.674771	4.325208	2.691156	2.149033	7.484684	1.741578	1.9493
CFH	7.116432	30.264146	33.91307	10.384534	36.250698	3.01237	21.996331
FUCA2	11.669862	11.979522	17.800779	10.84615	28.563507	10.8355	15.400511
GCLC	267.068185	6.551362	28.692145	8.343526	19.000319	7.484611	19.206014
NFYA	8.66288	11.766575	16.887388	10.902324	18.748173	15.742432	25.637398
STPG1	1.486972	2.319761	3.311623	1.3508	3.479324	5.860028	10.701093
NIPAL3	5.537886	7.231391	5.477718	3.706981	13.004871	8.219753	44.374581
LAS1L	6.376886	9.302616	10.093901	7.173691	13.588632	9.970162	12.792069
ENPP4	1.268073	2.244838	5.950684	1.607626	14.447297	1.526341	7.361185
SEMA3F	5.563051	4.668702	10.686824	9.327402	4.026299	3.400329	14.03183
CFTR	0.010525	1.102888	3.247445	0.073538	0.050503	1.074523	0.07726
ANKIB1	47.226941	30.463859	27.868389	19.611611	40.103455	17.362111	55.553775
CYP51A1	41.742063	11.270257	13.7562	13.811626	15.162056	16.694848	27.105535
KRIT1	31.793074	26.020318	16.955379	19.649017	35.618634	10.79148	39.936148
RAD52	6.269707	7.322265	7.970593	5.952936	9.918076	10.513091	9.038463
MYH16	0.048256	0.009107	0.040913	0.052438	0.01835	0.025933	0.179648
BAD	6.500761	11.549038	14.770453	10.243856	7.148693	12.765394	18.55761
LAP3	11.609063	74.347332	55.161986	24.615515	68.0126	15.46114	89.904988
CD99	149.570784	87.850719	171.027551	77.648467	86.446905	68.09056	257.042714
HS3ST1	0.73806	0.606923	2.994314	0.695263	0.656488	0.339887	0.785226
AOC1	0.029953	0.613978	0.449612	0.03985	0.319774	0.278322	0.291252
WNT16	0	0.095419	0.043796	0.003383	0.431889	0	0
HECW1	0.933162	0.301797	1.010991	0.675111	0.063802	0.973831	1.20717
MAD1L1	7.25662	11.920714	14.242976	5.47126	18.371765	16.541579	20.372631
LASP1	34.202109	35.321718	51.484407	64.659208	71.170465	29.026828	55.935518
SNX11	5.116793	7.127506	12.376982	5.321185	13.510726	6.981326	8.431938
TMEM176A	2.903977	28.794103	16.805702	7.599967	33.294088	36.944728	31.735065
M6PR	30.421702	34.10462	39.830447	27.241911	81.393172	70.885429	55.959898
KLHL13	6.765437	0.583799	2.739172	0.680861	0.576111	0.781356	0.763012
CYP26B1	3.563285	1.058473	2.459331	0.762617	3.559342	2.278545	7.126919
ICA1	31.347397	6.600365	28.395878	22.872241	38.688898	10.704644	30.481847
DBNDD1	1.5257	1.807255	5.713246	15.602153	3.686586	17.981381	15.937453
ALS2	7.670882	9.815554	19.811204	6.009347	13.953478	4.701653	15.144219
CASP10	12.711395	16.70021	13.602722	9.531031	16.397405	1.99614	2.736134
CFLAR	46.59768	92.98819	107.504853	44.749512	151.194358	27.303329	75.938821
TFPI	3.38229	10.520028	27.714332	2.272162	39.202766	1.632799	6.436766
NDUFAF7	5.97144	5.665184	9.904868	4.379844	9.954306	5.447751	11.693866
RBM5	56.952416	60.01225	49.479897	40.871823	96.800653	20.124572	72.880027
MTMR7	0.006254	0.007015	0.016496	0.002731	0.017651	0.527786	3.643217
SLC7A2	7.641513	3.789143	3.900122	9.208722	11.473983	0.875471	0.522649
